epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9153,1.61868,2.21953,2.16791,0.01232,0.60714,0.1793,0.04936,2.63385,4.17003,3.51512,0.0809664,5.72727e-05,5.72727e-05
2,15.2654,1.48088,1.9121,1.92762,0.01119,0.85714,0.61663,0.30635,1.5948,2.79541,2.02924,0.0610254,0.000116305,0.000116305
3,16.6301,1.33548,1.73451,1.79613,0.77262,0.6068,0.74875,0.3356,1.61623,2.37961,2.06524,0.0410834,0.000174348,0.000174348
4,17.9428,1.40894,1.65386,1.85246,0.76773,0.67857,0.77765,0.39407,1.40872,2.03601,1.93817,0.0211405,0.0002314,0.0002314
5,19.2174,1.38072,1.54224,1.82857,0.80633,0.74367,0.79428,0.43936,1.47853,1.59663,2.0413,0.00119655,0.000287463,0.000287463
6,20.5973,1.39794,1.46487,1.82805,0.82701,0.85382,0.87236,0.44251,1.60069,1.49974,2.15402,0.000287625,0.000287625,0.000287625
7,21.8604,1.37334,1.42161,1.81773,0.84985,0.82143,0.87014,0.4796,1.4732,1.40299,2.03753,0.00028515,0.00028515,0.00028515
8,23.1114,1.36494,1.36265,1.83123,0.68668,0.89286,0.81874,0.44162,1.41009,1.37937,1.98646,0.000282675,0.000282675,0.000282675
9,24.3976,1.32169,1.44664,1.80166,0.71462,0.78571,0.80588,0.40142,1.52895,1.39252,2.163,0.0002802,0.0002802,0.0002802
10,25.6684,1.31092,1.38472,1.80872,0.84862,0.85714,0.89107,0.4127,1.71146,1.34822,2.39712,0.000277725,0.000277725,0.000277725
11,26.9838,1.31715,1.32328,1.75463,0.85868,0.89286,0.9257,0.4985,1.54344,1.43335,2.12233,0.00027525,0.00027525,0.00027525
12,28.3741,1.35554,1.34073,1.77281,0.86932,0.9506,0.95913,0.55232,1.39514,1.32948,1.95103,0.000272775,0.000272775,0.000272775
13,29.6317,1.3102,1.28889,1.77937,0.86312,0.96429,0.95941,0.53284,1.5272,1.25986,2.13009,0.0002703,0.0002703,0.0002703
14,30.9202,1.25704,1.25985,1.70577,0.87232,0.89286,0.9384,0.54274,1.52257,1.15588,2.15142,0.000267825,0.000267825,0.000267825
15,32.2191,1.27636,1.27111,1.71995,0.911,0.92857,0.96267,0.61447,1.24754,1.14497,1.81004,0.00026535,0.00026535,0.00026535
16,33.4583,1.22254,1.23352,1.73461,0.95887,0.82143,0.93631,0.60832,1.26731,1.07791,1.878,0.000262875,0.000262875,0.000262875
17,34.7509,1.31784,1.2705,1.77496,1,0.851,0.9361,0.58174,1.31659,1.0922,1.9479,0.0002604,0.0002604,0.0002604
18,36.0408,1.24151,1.23353,1.72675,0.89162,0.88172,0.92558,0.58237,1.29402,1.1173,1.89859,0.000257925,0.000257925,0.000257925
19,37.3629,1.28505,1.23336,1.72803,0.89132,0.87905,0.92168,0.58435,1.31003,1.10244,1.89219,0.00025545,0.00025545,0.00025545
20,38.7135,1.25724,1.22931,1.73065,0.89154,0.88101,0.91984,0.57914,1.36236,1.05716,1.91975,0.000252975,0.000252975,0.000252975
21,40.0557,1.29292,1.2786,1.75764,0.89209,0.88599,0.9216,0.57677,1.33015,0.99676,1.87286,0.0002505,0.0002505,0.0002505
22,41.4188,1.23795,1.21083,1.7018,0.89169,0.89286,0.91572,0.59608,1.26282,0.99622,1.80321,0.000248025,0.000248025,0.000248025
23,42.6886,1.21913,1.16613,1.70395,0.89472,0.89286,0.91289,0.59581,1.28736,1.05502,1.81692,0.00024555,0.00024555,0.00024555
24,43.984,1.25164,1.20444,1.73697,0.91857,0.89286,0.91069,0.5954,1.31315,1.02036,1.84487,0.000243075,0.000243075,0.000243075
25,45.29,1.22662,1.19,1.69584,0.91974,0.89286,0.90648,0.59205,1.35745,1.00148,1.88666,0.0002406,0.0002406,0.0002406
